F1,F2,F3,F4,F5,F6,F7,F8,NIR_1,NIR_2,Class
31,92,94,170,339,493,432,209,117,118,0
113,376,306,624,1000,1000,1000,711,261,255,0
122,406,325,671,1000,1000,1000,750,273,264,0
117,388,310,640,1000,1000,1000,771,267,270,0
110,366,294,609,1000,1000,1000,734,258,261,0
84,274,239,473,880,1000,1000,528,210,204,0
22,61,66,115,249,361,316,154,100,102,0
39,118,115,213,412,602,526,256,135,135,0
103,341,276,566,1000,1000,1000,676,252,250,0
112,373,298,612,1000,1000,1000,716,264,261,0
111,367,292,605,1000,1000,1000,734,261,266,0
111,369,295,607,1000,1000,1000,697,264,255,0
106,351,284,582,968,1000,1000,589,252,227,0
49,152,149,275,518,754,659,321,152,150,0
28,80,86,151,288,420,370,180,110,110,0
129,424,368,716,1000,1000,1000,788,297,282,0
127,422,341,709,1000,1000,1000,951,300,328,0
140,462,372,775,1000,1000,1000,879,321,315,0
146,485,391,807,1000,1000,1000,1000,333,345,0
99,326,266,561,1000,1000,1000,924,252,321,0
47,147,138,266,512,741,641,314,153,154,0
21,59,62,111,209,304,267,132,102,102,0
68,222,192,388,784,1000,974,481,198,203,0
105,349,280,589,1000,1000,1000,694,263,264,0
117,387,309,653,1000,1000,1000,748,285,279,0
105,347,278,584,1000,1000,1000,831,263,300,0
83,272,215,453,1000,1000,1000,665,234,267,0
50,161,139,280,546,800,691,343,170,170,0
17,47,48,87,157,236,210,106,101,102,0
30,87,83,158,297,442,387,193,128,128,0
85,274,220,456,787,1000,1000,507,237,219,0
107,352,280,584,1000,1000,1000,716,272,273,0
111,365,288,606,1000,1000,1000,768,279,288,0
77,251,198,418,1000,1000,1000,766,205,284,0
122,405,327,662,1000,1000,1000,843,271,273,0
58,184,168,322,724,1000,922,463,161,178,0
20,57,61,106,207,305,271,136,100,100,0
34,99,101,181,266,392,346,174,122,111,0
112,369,302,609,1000,1000,1000,833,249,261,0
109,361,289,596,1000,1000,1000,1000,244,318,0
80,260,206,435,921,1000,1000,591,203,211,0
72,231,184,391,859,1000,1000,561,188,208,0
76,245,198,415,875,1000,1000,569,197,209,0
42,130,115,232,434,634,545,280,143,136,0
17,43,45,81,147,221,197,102,98,96,0
25,71,70,129,231,345,304,156,114,112,0
71,227,183,385,808,1000,1000,531,197,209,0
60,190,151,322,684,1000,856,447,174,187,0
180,591,490,941,1000,1000,1000,1000,361,380,0
82,262,214,450,1000,1000,1000,758,201,250,0
234,712,644,1000,1000,1000,1000,1000,559,602,0
245,739,677,1000,1000,1000,1000,1000,587,558,0
44,120,143,360,688,699,558,286,139,140,0
84,239,257,681,1000,1000,1000,537,237,242,0
218,648,598,1000,1000,1000,1000,1000,558,553,0
244,716,664,1000,1000,1000,1000,1000,654,560,0
96,280,261,756,1000,1000,1000,1000,303,559,0
179,544,512,1000,1000,1000,1000,1000,378,694,0
54,152,177,437,773,791,609,317,140,106,0
259,795,727,1000,1000,1000,1000,1000,520,506,0
274,849,763,1000,1000,1000,1000,1000,543,534,0
266,828,743,1000,1000,1000,1000,1000,517,548,0
157,491,451,1000,1000,1000,1000,1000,312,374,0
146,405,467,1000,874,906,693,368,312,134,0
69,200,221,558,1000,1000,936,490,181,197,0
187,576,538,1000,1000,1000,1000,1000,409,410,0
199,613,568,1000,1000,1000,1000,1000,425,413,0
174,537,496,1000,1000,1000,1000,1000,373,445,0
169,521,489,1000,1000,1000,1000,1000,383,382,0
46,129,151,366,721,746,585,310,138,142,0
112,341,335,899,1000,1000,1000,821,267,309,0
171,525,490,1000,1000,1000,1000,926,384,342,0
233,709,669,1000,1000,1000,1000,1000,500,557,0
259,781,746,1000,1000,1000,1000,1000,557,533,0
213,640,623,1000,1000,1000,1000,1000,462,499,0
60,165,194,465,919,951,747,394,160,171,0
178,544,516,1000,1000,1000,1000,1000,366,488,0
155,483,445,1000,1000,1000,1000,1000,309,346,0
152,475,434,1000,1000,1000,1000,866,307,279,0
157,487,448,1000,1000,1000,1000,999,315,326,0
108,324,329,864,1000,1000,1000,609,246,219,0
41,112,130,319,714,743,581,311,130,139,0
132,412,374,1000,1000,1000,1000,833,282,297,0
205,629,578,1000,1000,1000,1000,1000,456,452,0
214,667,598,1000,1000,1000,1000,1000,464,502,0
78,244,218,634,1000,1000,1000,1000,187,428,0
49,138,154,397,471,491,401,211,167,144,0
83,234,257,662,1000,1000,974,500,244,236,0
233,695,643,1000,1000,1000,1000,1000,573,511,0
264,785,722,1000,1000,1000,1000,1000,660,616,0
269,803,721,1000,1000,1000,1000,1000,651,619,0
95,282,263,761,1000,1000,1000,825,288,364,0
28,69,84,208,382,396,322,170,128,124,0
93,284,276,782,656,677,542,283,215,157,0
385,1000,1000,1000,1000,1000,1000,775,709,342,0
130,391,351,998,516,545,435,236,157,126,0
344,951,880,1000,1000,1000,1000,624,635,258,0
84,240,225,684,1000,1000,1000,577,203,211,0
45,117,134,352,710,733,563,298,136,138,0
178,524,471,1000,1000,1000,1000,1000,396,386,0
197,576,509,1000,1000,1000,1000,1000,439,438,0
174,511,449,1000,1000,1000,1000,1000,386,390,0
120,352,310,962,1000,1000,1000,995,265,354,0
17,43,48,123,554,575,443,239,76,116,0
78,223,204,620,696,721,574,301,203,170,0
104,298,266,807,1000,1000,1000,549,284,211,0
96,272,256,750,1000,1000,1000,600,279,275,0
95,269,252,744,1000,1000,1000,617,273,276,0
28,69,79,208,401,421,335,182,126,126,0
72,195,198,556,1000,1000,893,470,225,227,0
124,351,325,957,1000,1000,1000,758,336,325,0
130,370,338,1000,1000,1000,1000,857,339,353,0
117,333,303,906,1000,1000,1000,919,315,366,0
75,208,203,586,1000,1000,991,517,234,247,0
29,70,80,210,392,412,328,179,126,124,0
129,368,334,993,1000,1000,1000,762,347,312,0
120,342,304,929,1000,1000,1000,801,297,312,0
101,292,260,800,1000,1000,1000,698,249,270,0
183,510,487,1000,1000,1000,1000,1000,521,474,0
56,140,167,416,733,755,600,315,189,177,0
226,617,574,1000,1000,1000,1000,1000,556,625,0
66,185,169,479,1000,1000,1000,959,252,398,0
150,453,398,1000,1000,1000,1000,1000,395,437,0
147,435,387,1000,1000,1000,1000,957,393,402,0
35,91,104,265,513,531,424,226,140,139,0
114,330,313,882,1000,1000,1000,701,326,312,0
166,489,433,1000,1000,1000,1000,1000,440,443,0
228,671,596,1000,1000,1000,1000,999,567,416,0
308,888,810,1000,1000,1000,1000,1000,744,724,0
71,185,221,535,1000,1000,884,465,212,215,0
186,529,511,1000,1000,1000,1000,1000,476,518,0
147,420,377,1000,1000,1000,1000,1000,400,405,0
108,320,281,839,1000,1000,1000,565,298,321,0
153,440,389,1000,1000,1000,1000,849,319,345,0
17,47,52,127,599,619,486,260,88,112,0
180,553,524,1000,1000,1000,1000,790,315,255,0
50,149,135,381,1000,1000,1000,1000,193,291,0
153,477,419,1000,1000,1000,1000,765,353,300,0
127,395,351,1000,1000,1000,1000,799,285,282,0
51,143,166,404,665,690,537,288,164,149,0
234,719,656,1000,1000,1000,1000,1000,509,479,0
215,668,596,1000,1000,1000,1000,1000,468,510,0
201,620,552,1000,1000,1000,1000,1000,455,452,0
303,883,855,1000,1000,1000,1000,1000,660,780,0
44,122,142,354,663,688,534,286,145,151,0
174,540,484,1000,1000,1000,1000,1000,419,651,0
211,649,581,1000,1000,1000,1000,1000,502,459,0
215,661,593,1000,1000,1000,1000,1000,506,489,0
143,425,420,1000,1000,1000,1000,832,358,336,0
51,139,162,400,843,869,680,359,176,183,0
162,492,444,1000,1000,1000,1000,1000,451,499,0
264,814,734,1000,1000,1000,1000,1000,569,677,0
223,693,622,1000,1000,1000,1000,1000,504,504,0
63,179,197,497,1000,1000,898,473,198,219,0
130,394,388,1000,1000,1000,1000,763,334,320,0
207,647,577,1000,1000,1000,1000,1000,481,513,0
202,632,560,1000,1000,1000,1000,1000,464,485,0
180,561,505,1000,1000,1000,1000,1000,420,444,0
34,92,105,262,552,574,449,242,132,140,0
205,641,575,1000,1000,1000,1000,1000,464,500,0
232,724,646,1000,1000,1000,1000,1000,519,498,0
253,784,703,1000,1000,1000,1000,1000,555,496,0
105,306,326,826,1000,1000,1000,536,273,233,0
99,296,299,793,1000,1000,1000,962,246,362,0
173,541,479,1000,1000,1000,1000,1000,372,392,0
180,569,500,1000,1000,1000,1000,1000,380,364,0
159,499,446,1000,1000,1000,1000,996,339,342,0
35,94,107,267,557,581,453,245,122,132,0
210,656,588,1000,1000,1000,1000,1000,429,435,0
224,698,620,1000,1000,1000,1000,1000,453,466,0
198,620,552,1000,1000,1000,1000,1000,420,421,0
39,105,120,298,548,572,446,242,131,131,0
156,490,445,1000,1000,1000,1000,990,339,340,0
169,535,470,1000,1000,1000,1000,1000,345,336,0
175,551,484,1000,1000,1000,1000,998,356,329,0
70,216,201,572,1000,1000,903,477,169,176,0
46,134,144,371,528,552,427,232,140,116,0
172,538,477,1000,1000,1000,1000,1000,342,378,0
173,543,480,1000,1000,1000,1000,1000,342,318,0
99,314,276,801,1000,1000,1000,864,210,279,0
43,118,138,335,391,413,324,176,108,92,0
82,251,226,648,1000,1000,1000,907,203,255,0
56,167,150,425,1000,1000,1000,1000,211,225,0
115,344,310,918,1000,1000,1000,1000,342,447,0
83,244,255,688,726,750,587,309,199,169,0
133,401,395,1000,1000,1000,1000,806,329,321,0
262,814,730,1000,1000,1000,1000,1000,556,559,0
265,814,734,1000,1000,1000,1000,1000,601,645,0
170,519,482,1000,1000,1000,1000,1000,393,383,0
43,118,137,345,633,658,509,272,147,143,0
196,609,543,1000,1000,1000,1000,1000,446,462,0
252,777,695,1000,1000,1000,1000,1000,556,564,0
252,773,701,1000,1000,1000,1000,1000,548,552,0
62,168,199,488,847,877,681,361,179,168,0
270,813,739,1000,1000,1000,1000,1000,568,600,0
193,604,535,1000,1000,1000,1000,1000,440,629,0
209,651,581,1000,1000,1000,1000,1000,465,450,0
37,100,115,285,573,595,471,252,146,153,0
143,445,404,1000,1000,1000,1000,879,361,359,0
173,542,480,1000,1000,1000,1000,1000,415,415,0
180,569,503,1000,1000,1000,1000,1000,414,426,0
92,275,276,736,1000,1000,1000,565,240,242,0
86,258,260,693,1000,1000,1000,536,225,222,0
178,560,497,1000,1000,1000,1000,1000,383,390,0
120,385,334,984,1000,1000,1000,776,267,276,0
78,247,217,645,1000,1000,1000,699,185,251,0
26,69,77,197,647,673,525,281,104,145,0
209,641,580,1000,1000,1000,920,480,537,196,0
168,528,467,1000,1000,1000,1000,1000,406,419,0
125,352,342,894,1000,1000,1000,549,139,231,0
32,94,106,251,911,942,731,391,122,169,0
98,291,255,774,1000,1000,1000,533,234,175,0
173,510,447,1000,1000,1000,1000,533,376,194,0
140,413,364,1000,1000,1000,1000,812,357,313,0
47,127,136,367,760,797,627,336,166,174,0
131,373,355,1000,1000,1000,1000,827,339,330,0
155,460,403,1000,1000,1000,1000,1000,381,427,0
152,449,394,1000,1000,1000,1000,1000,378,407,0
79,220,218,613,1000,1000,938,501,234,225,0
90,255,247,703,1000,1000,1000,585,257,250,0
146,427,375,1000,1000,1000,1000,979,362,375,0
150,442,389,1000,1000,1000,1000,972,376,373,0
93,263,253,722,1000,1000,1000,591,255,250,0
73,209,206,580,1000,1000,942,501,215,221,0
147,434,378,1000,1000,1000,1000,988,356,370,0
168,497,433,1000,1000,1000,1000,898,383,333,0
164,457,451,1000,1000,1000,1000,1000,376,375,0
94,265,264,730,1000,1000,1000,634,258,270,0
197,581,512,1000,1000,1000,1000,1000,462,459,0
189,562,491,1000,1000,1000,1000,1000,438,459,0
122,350,338,946,1000,1000,1000,784,309,305,0
94,266,267,738,1000,1000,1000,656,266,264,0
201,595,514,1000,1000,1000,1000,1000,466,455,0
168,507,431,1000,1000,1000,1000,1000,384,380,0
89,261,243,710,1000,1000,1000,610,250,247,0
38,102,108,291,615,641,503,271,148,156,0
123,374,319,972,1000,1000,1000,72,112,337,0
136,399,358,1000,1000,1000,1000,851,398,376,0
74,192,224,568,107,120,103,64,181,76,0
309,912,786,1000,1000,1000,1000,1000,691,665,0
289,859,732,1000,1000,1000,1000,1000,645,650,0
240,715,620,1000,1000,1000,1000,1000,578,676,0
